State name,Latitude,Longitude,District code,District name,Population,Households_with_Internet,sex_ratio,literacy_rate
ASSAM,26.377219709794485,93.82583397823468,313,Golaghat,1066888,3073,964.22,67.65
ASSAM,26.08966454598031,93.11536570271832,314,Karbi Anglong,956313,1923,950.99,58.27
ASSAM,24.815570668693017,92.86849650455927,316,Cachar,1736617,5316,959.44,67.61
ASSAM,24.69660712250711,92.3679498575498,317,Karimganj,1228686,1933,963.18,64.73
ASSAM,24.457496089385486,92.59154664804475,318,Hailakandi,659296,1211,951.21,61.79
ASSAM,26.45012521994133,90.6734296187684,319,Bongaigaon,738804,2523,965.86,58.75
ASSAM,26.170939452054807,91.58863273972592,321,Kamrup,1517542,3109,949.41,65.59
ASSAM,26.46323767605632,91.40598521126763,323,Nalbari,771639,1631,948.55,68.91
ASSAM,26.58463215962442,92.04141338028155,325,Darrang,928500,1166,953.61,52.45
WEST BENGAL,26.839619571045585,88.33145067024122,327,Darjiling,1846823,10943,970.45,71.24
WEST BENGAL,26.62642031250004,89.04154375000003,328,Jalpaiguri,3872846,9322,952.96,64.52
WEST BENGAL,26.044619165196977,88.23595232216337,330,Uttar Dinajpur,3007134,2883,938.75,49.54
WEST BENGAL,25.342094363021435,88.69821679819614,331,Dakshin Dinajpur,1676276,2518,955.53,64.65
WEST BENGAL,25.08026802575105,88.17191684549356,332,Maldah,3988845,5357,944.32,52.31
WEST BENGAL,24.25950655391121,88.16816860465121,333,Murshidabad,7103807,7951,958.29,57.09
WEST BENGAL,24.06389342723,87.65153089201888,334,Birbhum,3502404,5210,955.65,61.63
WEST BENGAL,23.444453888888884,87.8150581111111,335,Barddhaman,7717563,32323,945.5,67.99
WEST BENGAL,23.56410971055088,88.58293034547152,336,Nadia,5167600,12787,947.27,67.35
WEST BENGAL,22.87929264705881,88.00010264705891,338,Hugli,5519145,31725,960.86,73.9
WEST BENGAL,23.081280892857155,87.12640053571437,339,Bankura,3596674,4273,956.74,62.08
WEST BENGAL,23.254192328767108,86.3968532876713,340,Puruliya,2930115,3551,957.33,55.46
WEST BENGAL,22.401674174428507,87.99421176968654,341,Haora,4850029,30751,939.38,74.33
WEST BENGAL,22.550581481481483,88.3527648148148,342,Kolkata,4496694,136618,907.99,79.8
JHARKHAND,24.082114689265527,83.68664265536722,346,Garhwa,1322784,565,935.1,49.4
JHARKHAND,24.11619945750453,84.93295804701627,347,Chatra,1042886,590,953.21,48.91
JHARKHAND,24.30578509874329,86.08710915619386,349,Giridih,2445474,1944,943.79,51.26
